ID,Module_ID,Content_Order,Message_Type,Text,Title,Subtitle,ImageURL,LinkURL,Embed_ID,Type,Skill,Questions,AnswerOptions,RightAnswer,Right_Ans_Response,Wrong_Ans_Response
1,,,Button,,11 Essential Non-Technical Product Management Skills,"Like a CEO, a PM must also master non-technical - but no less challenging - skills in order to ensure their product's (and company's) success.",non-technical-product-management-skills-1366x683-1.jpg,http://community.uservoice.com/blog/non-technical-product-management-skills/,,WebPage,Product_Market_Fit,Which one of these is not an essential product management skill,1:Business Acumen|2:Persuasion|3:General fitness,3,,
2,,,Button,,The Top 5 Technical Skills Every Product Manager Should Know,You are kind of the mini-CEO - with all of the responsibility?but without any of the authority,software-team-sport-climbing-800x518-768x497.jpg,http://community.uservoice.com/blog/technical-skills-every-product-manager-should-know/,,WebPage,Product_Market_Fit,Which of these is not an Technical Skill needed for Product Managers,1:DataAnalysis|2:Java|3:AB Testing,2,,
3,,,Button,,Managing Cross-Functional Teams,Cross-functional teams are significantly different from teams that are aligned on one functional level.  ,24_VR_1927889_Garry_2x1.jpg,https://www.mindtools.com/pages/article/newTMM_30.htm,,WebPage,Product_Market_Fit,Which of these is essential for Cross Functional Teams,1:Clear Communication|2:Direct Reporting|3:Same Geography,1,,
4,,,Button,,Minimize Your time to Product Market fit,Product market fit is a key ask for good product managers,car.png,http://andrewchen.co/ttpmf-time-to-product-market-fit/,,WebPage,Product_Market_Fit,Reducing TTPMF is essential for startup,1:Yes|2:No|3:I dont know,1,,
5,,,Button,,How To Use 10 Psychological Theories To Persuade People,Influence your audience without feeling sleazy about it with these tips on social media.,3030173-poster-p-1-3030173-work-smart-how-to-use-10-psychological-theories-to-persuade-people.jpg,https://www.fastcompany.com/3030173/work-smart/how-to-use-10-psychological-theories-to-persuade-people,,WebPage,Product_Market_Fit,Which of these is not a psychological theory of persuasion,1:Amplification hyp|2:Priming|3:Field Sales,1,,
6,,,Button,,Can Counter Experience Bias,"Product management can seem like a solitary journey at times, as you are the only person 100% focused on the fate of a particular product or feature.",product-management-experience-bias-communication-750x400.jpg,https://community.uservoice.com/blog/product-managers-counter-experience-bias/,,WebPage,Product_Market_Fit,Which of these is a method to counter experience bias,1:Customer feedback|2:Anologies|3:Reading up,1,,
7,,,Button,,How to Onboard Junior Product Managers for Success,"It would be easy to view these new product managers as a distraction from your own daily grind, or even as competition, but this short-sighted view doesn't do anyone any favors",onboarding-junior-product-manager-1.jpg,https://community.uservoice.com/blog/onboarding-junior-product-managers/,,WebPage,Product_Market_Fit,Which of these is a not method to onboard junior members,1:Customer Interaction|2:Theory|3:Take long walks,2,,
9,,,Button,,Building an Effective Team,"Everyone brings unique talents and strengths to the table, no-one is playing politics or bickering, and there's just enough competitive spirit to bring out the best in everyone. ",onboarding-junior-product-manager-1.jpg,https://www.mindtools.com/pages/article/building-effective-teams.htm,,WebPage,Product_Market_Fit,To build an effective team you do not have to,1:Analyze and Plan|2:Get the right people|3:theorize,3,,
11,,,Button,,Alan Chiu: Nailing Product-Market Fit,Takeaways from the Stanford Graduate School of Business Entrepreneur Symposium 2015.,https://i.ytimg.com/vi/4hpP88Z16KM/hqdefault.jpg,https://www.youtube.com/watch?v=4hpP88Z16KM,4hpP88Z16KM,YouTube,Product_Market_Fit,Why focus on customer early on,1:Right Solution|2:Early sales|3:Marketing,3,,
12,,,Button,,Tools for Entrepreneurs: Finding Product Market Fit,"Google for Entrepreneurs and General Assembly have partnered up to create ""Tools for Entrepreneurs,"" video classes for entrepreneurs to grow their skills and grow their businesses. ",https://i.ytimg.com/vi/c-ruOFVG078/hqdefault.jpg,https://www.youtube.com/watch?v=c-ruOFVG078,c-ruOFVG078,YouTube,Product_Market_Fit,Instagram found product market fit ,1:Early|2:Mid|3:Later,1,,
