ID,Title,Subtitle,ImageURL,LinkURL,Embed_ID,Type,Skill,Questions,AnswerOptions,RightAnswer
1,11 Essential Non-Technical Product Management Skills,"Like a CEO, a PM must also master non-technical - but no less challenging - skills in order to ensure their product's (and company's) success.",non-technical-product-management-skills-1366x683-1.jpg,http://community.uservoice.com/blog/non-technical-product-management-skills/,,WebPage,Product_Market_Fit,Which one of these is not an essential product management skill,1:Business Acumen|2:Persuassion|3:General fitness,3
2,The Top 5 Technical Skills Every Product Manager Should Know,You are kind of the mini-CEO - with all of the responsibility?but without any of the authority,software-team-sport-climbing-800x518-768x497.jpg,http://community.uservoice.com/blog/technical-skills-every-product-manager-should-know/,,WebPage,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
3,Managing Cross-Functional Teams,Cross-functional teams are significantly different from teams that are aligned on one functional level.  ,24_VR_1927889_Garry_2x1.jpg,https://www.mindtools.com/pages/article/newTMM_30.htm,,WebPage,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
4,Minimize Your time to Product Market fit,Product market fit is a key ask for good product managers,car.png,http://andrewchen.co/ttpmf-time-to-product-market-fit/,,WebPage,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
5,How To Use 10 Psychological Theories To Persuade People,Influence your audience without feeling sleazy about it with these tips on social media.,3030173-poster-p-1-3030173-work-smart-how-to-use-10-psychological-theories-to-persuade-people.jpg,https://www.fastcompany.com/3030173/work-smart/how-to-use-10-psychological-theories-to-persuade-people,,WebPage,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
6,Can Counter Experience Bias,"Product management can seem like a solitary journey at times, as you are the only person 100% focused on the fate of a particular product or feature.",product-management-experience-bias-communication-750x400.jpg,https://community.uservoice.com/blog/product-managers-counter-experience-bias/,,WebPage,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
7,How to Onboard Junior Product Managers for Success,"It would be easy to view these new product managers as a distraction from your own daily grind, or even as competition, but this short-sighted view doesn't do anyone any favors",onboarding-junior-product-manager-1.jpg,https://community.uservoice.com/blog/onboarding-junior-product-managers/,,WebPage,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
8,Make thinks people want ,"There are many advantages of launching quickly, but the most important may be that once you have users, the tamagotchi effect kicks in. ",3030173-poster-p-1-3030173-work-smart-how-to-use-10-psychological-theories-to-persuade-people.jpg,http://www.paulgraham.com/good.html,,WebPage,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
9,Building an Effective Team,"Everyone brings unique talents and strengths to the table, no-one is playing politics or bickering, and there's just enough competitive spirit to bring out the best in everyone. ",onboarding-junior-product-manager-1.jpg,https://www.mindtools.com/pages/article/building-effective-teams.htm,,WebPage,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
10,Building an Effective Team,"Everyone brings unique talents and strengths to the table, no-one is playing politics or bickering, and there's just enough competitive spirit to bring out the best in everyone. ",onboarding-junior-product-manager-1.jpg,https://www.mindtools.com/pages/article/building-effective-teams.htm,,WebPage,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
11,Alan Chiu: Nailing Product-Market Fit,Takeaways from the Stanford Graduate School of Business Entrepreneur Symposium 2015.,https://i.ytimg.com/vi/4hpP88Z16KM/hqdefault.jpg,https://www.youtube.com/watch?v=4hpP88Z16KM,4hpP88Z16KM,YouTube,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
12,Tools for Entrepreneurs: Finding Product Market Fit,"Google for Entrepreneurs and General Assembly have partnered up to create ""Tools for Entrepreneurs,"" video classes for entrepreneurs to grow their skills and grow their businesses. ",https://i.ytimg.com/vi/c-ruOFVG078/hqdefault.jpg,https://www.youtube.com/watch?v=c-ruOFVG078,c-ruOFVG078,YouTube,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
13,"Dan Olsen, A Playbook for Achieving Product-Market Fit, LSC15","Everyone working on a new product is trying to achieve the same goal: product-market fit. Although product-market fit is one of the most important Lean Startup concepts, it’s also the least well defined. Dan ",https://i.ytimg.com/vi/vMu85j3E6oI/hqdefault.jpg,https://www.youtube.com/watch?v=vMu85j3E6oI,vMu85j3E6oI,YouTube,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
14,Ash Maurya - 10 Steps to Product / Market Fit - Pioneers Festival 2012,,https://i.ytimg.com/vi/Nhl5nzUNQCA/hqdefault.jpg,https://www.youtube.com/watch?v=Nhl5nzUNQCA,Nhl5nzUNQCA,YouTube,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
15,Marc Andreessen: Product Vs. Business,"The Business Insider presents Innovation: a series of interviews with today's most innovative business leaders, sponsored by Mercedes-Benz. Marc Andreessen,",https://i.ytimg.com/vi/zfOsP3PmI1U/hqdefault.jpg,https://www.youtube.com/watch?v=zfOsP3PmI1U,zfOsP3PmI1U,YouTube,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
16,10 Steps to Product-Market Fit,"Product/Market Fit is first significant milestone that matters. But while we know what Product/Market Fit should feel like, we don't quite know how to get there. ",https://i.ytimg.com/vi/1Ge_bb8JJ90/hqdefault.jpg,https://www.youtube.com/watch?v=1Ge_bb8JJ90,1Ge_bb8JJ90,YouTube,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
17,Startup Workshop #1: Product-Market-Fit,"The hunt for finding product/market fit in an early-stage startup is an elusive one, often fraught with chaos, and certainly never easy.",https://i.ytimg.com/vi/F9aG_8CwSMM/hqdefault.jpg,https://www.youtube.com/watch?v=F9aG_8CwSMM,F9aG_8CwSMM,YouTube,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
18,How to find Product Market Fit,Customer Development Labs,https://i.ytimg.com/vi/iq-dk2xBUr8/hqdefault.jpg,https://www.youtube.com/watch?v=iq-dk2xBUr8,iq-dk2xBUr8,YouTube,Product_Market_Fit,Which One of these is an essential technical skill for a Product Manager,1:Business Acumen|2:Persuassion|3:General fitness,3
