,Content,Tag,Question,Right_Ans,Wrong_Ans
,How many times have you gone to a meeting with only a vague agenda and sat through a discussion with no end in sight? Those meetings arent fun are they?The most effective meetings are ones where the objectives are clear. A simple statement of what you hope to achieve can shave an average of 17 minutes off of your meeting.,#Meeting_Management,Why are meetings without an agenda not productive,Participants dont know what to expect and are not prepared,"Too many participants, Location does not work, Not managed"
,"Be Exclusive, When I get a meeting invite, I’ll usually ask (politely) if I actually need to be there. Often, office politics get in the way of who really needs to attend. Google caps attendees at 10 and Amazon has a “two pizza” rule (i.e., never have a meeting where you can’t feed the whole group with two pies). ",#Meeting_Management,Why should you restrict the number of participants,Clear definition of who is needed and why,"Costs too much to buy pizza, Takes too long to do introductions, Just not fun"
," Time It To The Second, Short well defined meetings are good. If you have a longer meeting, be clear with a broken down agenda.",#Meeting_Management,Do you prefer to have long meetings,No,"Yes, Always, MayBe, No"
,"Leave A Buffer, It’s amazing how often we’ll book back-to-back meetings without thinking about the logistics - the time it takes to walk from one office to the next, for instance, or to top up your coffee. ",#Meeting_Management,What is an ideal period of time between meetings,"15 Mins, depends","30 Mins, 1hr,1 week, 0 Mins"
,"Ditch PowerPoint, At Amazon, Jeff Bezos banned PowerPoint outright. Too often, we’re stuck listening to a presenter read an entire slideshow, verbatim. Visuals can be a great tool, but if you’re using PowerPoint as a crutch, your meeting is going to feel like it’s on life support.",#Meeting_Management,How do you conduct status meetings without a powepoint,Excel,"Remember, Nothing, Paper"
,"Provide Some Entertainment

Some people might hear “icebreaker” and groan, but a round-table question gets the conversation going.",#Meeting_Management,Whats not a fun thing to do,Disco dance,"Talk about the big game , The latest Netflix series, A fun question"
,"Unplug Your Laptops

Studies have found that students who use laptops have a harder time remembering what they learn in lectures and are less likely to understand complex ideas; the same goes for the office. ",#Meeting_Management,Why does not having laptops during meetings help,Focus and memory,"Watch Netflix, Respond to mails, See the game"
,"Meet Face-to-Face

How many conference calls have you tuned out of? I’m guilty of it, too: letting my mind wander when I’m not physically in the room. One study found revealed that 65% of employees regularly do other work while a conference call is happening. (A full 47% have even gone to the washroom during a call).",#Meeting_Management,How do you prevent people from turning off,Short well defined meetings,"Always face to face, offsite meetings, Video Meetings"
,"Lead With Purpose

Great meetings happen when you have great leaders. It’s not always easy to be the one ensuring things are moving along, but someone has to be accountable for running meetings that don’t suck. ",#Meeting_Management,How does purpose help with meetings,People know what to expect,"It does not, People dont attend if they dont want, Saves time"
,"Opening Communication, In many interpersonal encounters, the first few minutes are extremely important as first impressions have a significant impact on the success of further communication.",#Verbal_Communication,Why do people make a first impression ,"Its efficient , may be are animal instincts","People are mean, Dont want to speak with boring people, Easy to walk away"
,"Reinforcement
The use of encouraging words alongside non-verbal gestures such as head nods, a warm facial expression and maintaining eye contact, are more likely to reinforce openness in others. 

The use of encouragement and positive reinforcement can, Encourage others to participate in discussion (particularly in group work)",#Verbal_Communication,Why does non verbal gestures help,People observe visually along with hearing you. ,"People are amused, its more enjoyable , Its rude"
,"Effective Listening
Active listening is an important skill and yet, as communicators, people tend to spend far more energy considering what they are going to say rather than listening to what the other person is trying to say.

Although active listening is a skill in itself, covered in depth on our listening pages, it is also vital for effective verbal communication.",#Verbal_Communication,Is it important to say something or to listen,"Both, Listening helps in getting the other person interested ","No talking is more important, Fill empty space with talk, Yes saying is more importat"
,"Questioning
Effective questioning is an essential skill.  Questioning can be used to:

Obtain information.
Start a conversation.
Test understanding.
Draw someone into a conversation.
Show interest in a person.
Seek support or agreement.",#Verbal_Communication,How does questioning help,It shows the other person that you listen and you are interested in the topic,"Help test the other person, Does not help, Help check accuracy of information"
,"Closed Questions
Closed questions tend to seek only a one or two word answer (often simply 'yes' or 'no') and, in doing so, limit the scope of the response. Two examples of closed questions are ""Did you travel by car today?"" and ""Did you see the football game yesterday?"" These types of question mean control of the communication is maintained by the questioner yet this is often not the desired outcome when trying to encourage verbal communication.",#Verbal_Communication,Does it matter what kind of question you ask,"Yes, some questions allow the interaction to continue , some dont","No it does not matter, Just keep asking, I dont know"
,"Open Questions
Open questions broaden the scope for response since they demand further discussion and elaboration. For example, ""What was the traffic like this morning?"" or ""What do you feel you would like to gain from this discussion?"" Open questions will take longer to answer, but they do give the other person far more scope for self-expression and encourage involvement in the conversation.",#Verbal_Communication,Is it ok to ask lots of open questions?,"No, keep a balance, dont make the other person feel threatened or questioned","The more the merrier, Yes, Not sure"
,"Reflecting and Clarifying
Reflecting is the process of feeding-back to another person your understanding of what has been said. Although reflecting is a specialised skill used within counselling, it can also be applied to a wide range of communication contexts and is a useful skill to learn.",#Verbal_Communication,How does reflecting help,It makes the other person feel the discussion is real and that you are engaged,"Helps fill time, Shows you are smart, No idea"
,"Closing Communication
The way a communication is closed or ended will, at least in part, determine the way a conversation is remembered.

",#Verbal_Communication,Does it matter how you end a conversation?,"Yes, most often thats what people remember","No, just walk away, I dont know"
