Role,Skill,SKILL_CODE,Location,CompanyClass,Percentage,Enabled,Demand_Count,World_Count
Soft_Skills,Verbal Communication,Verbal_Communication,,,0,TRUE,0,0
Soft_Skills,Body Language,Body_Language,,,0,TRUE,0,0
Soft_Skills,Physical Communication,Physical_Communication,,,0,TRUE,0,0
Soft_Skills,Writing,Writing,,,0,TRUE,0,0
Soft_Skills,Storytelling,Storytelling,,,0,TRUE,0,0
Soft_Skills,Visual Communication,Visual_Communication,,,0,TRUE,0,0
Soft_Skills,Humor,Humor,,,0,TRUE,0,0
Soft_Skills,Quick-wittedness,Quick-wittedness,,,0,TRUE,0,0
Soft_Skills,Listening,Listening,,,0,TRUE,0,0
Soft_Skills,Presentation Skills,Presentation_Skills,,,0,TRUE,0,0
Soft_Skills,Public Speaking,Public_Speaking,,,0,TRUE,0,0
Soft_Skills,Interviewing,Interviewing,,,0,TRUE,0,0
Soft_Skills,Team Building,Team_Building,,,0,TRUE,0,0
Soft_Skills,Strategic Planning,Strategic_Planning,,,0,TRUE,0,0
Soft_Skills,Coaching,Coaching,,,0,TRUE,0,0
Soft_Skills,Mentoring,Mentoring,,,0,TRUE,0,0
Soft_Skills,Delegation,Delegation,,,0,TRUE,0,0
Soft_Skills,Dispute Resolution,Dispute_Resolution,,,0,TRUE,0,0
Soft_Skills,Diplomacy,Diplomacy,,,0,TRUE,0,0
Soft_Skills,Giving Feedback,Giving_Feedback,,,0,TRUE,0,0
Soft_Skills,Managing Difficult Conversations,Managing_Difficult_Conversations,,,0,TRUE,0,0
Soft_Skills,Decision Making,Decision_Making,,,0,TRUE,0,0
Soft_Skills,Performance Management,Performance_Management,,,0,TRUE,0,0
Soft_Skills,Supervising,Supervising,,,0,TRUE,0,0
Soft_Skills,Managing ,Managing_,,,0,TRUE,0,0
Soft_Skills,Manager Management,Manager_Management,,,0,TRUE,0,0
Soft_Skills,Talent Management,Talent_Management,,,0,TRUE,0,0
Soft_Skills,Managing Remote Teams,Managing_Remote_Teams,,,0,TRUE,0,0
Soft_Skills,Managing Virtual Teams,Managing_Virtual_Teams,,,0,TRUE,0,0
Soft_Skills,Crisis Management,Crisis_Management,,,0,TRUE,0,0
Soft_Skills,Facilitation,Facilitation,,,0,TRUE,0,0
