Role,Demand_Count,World_Count
new_products,200,573
saas,174,573
market_research,162,573
user_experience,160,573
user_stories,158,573
business_case,146,573
life_cycle,144,573
customer_needs,126,573
product_lifecycle,116,573
competitive_analysis,100,573
use_cases,90,573
business_cases,80,573
market_analysis,78,573
product_backlog,64,573
product_roadmaps,64,573
market_needs,58,573
external_stakeholders,56,573
value_proposition,56,573
cross_functional_teams,54,573
key_stakeholders,48,573
market_opportunities,42,573
marketing_strategies,36,573
key_benefits,36,573
business_problems,30,573
