Event_Code,SM_ID,ExpectedState,State,Expiry,Action,NextEvent,CallFunction,ParentSystem
WELCOME_INIT_1,1,,CLEAR,5min,msg_WelcomeMessage_1,WELCOME_INIT_2,,CUST_BOT
WELCOME_INIT_2,2,,CLEAR,5min,msg_WelcomeMessage_2,,,CUST_BOT
WELCOME_INIT_3,3,,CLEAR,5min,msg_WelcomeMessage_3,GET_USER_LOCATION,,CUST_BOT
GET_USER_LOCATION,4,,USER_LOCATION,5min,msg_askUserLocation,,,CUST_BOT
MSG,5,USER_LOCATION,CLEAR,5min,,ACK_USER_LOCATION,actionSaveUserLocation,CUST_BOT
ACK_USER_LOCATION,6,,CLEAR,5min,msg_ackUserLocation,GET_USER_ROLE,,
GET_USER_ROLE,7,,USER_ROLE,5min,msg_askUserRole,,,
MSG,8,USER_ROLE,CLEAR,5min,,GET_USER_COMPANY,actionSetUserRole,
GET_USER_COMPANY,9,,USER_COMPANY,,msg_askUserCompany,,,
MSG,10,USER_COMPANY,CLEAR,5min,,ACK_USER_INFO,actionSetUserCompany,
ACK_USER_INFO,11,,CLEAR,5min,msg_ackUserInfo,ANALYZE_SKILL_INFO_IMAGE,,
ROLE_DEMAND_INFO,12,,CLEAR,5min,msg_roleDemandInfo,,,
SELF_EVAL_SKILLS,13,,EVAL_SKILLS,5min,msg_askSelfEvalSkills,,,
MSG,14,EVAL_SKILLS,CLEAR,5min,,ACK_SKILL_INFO,actionSaveSelfEvalSkillData,
ACK_SKILL_INFO,15,,CLEAR,5min,msg_ackSkillInfo,,,
MSG,16,CLEAR,CLEAR,5min,,SHOW_OPTIONS,,
SHOW_OPTIONS,17,,CLEAR,5min,msg_showOptions,,,CUST_BOT
SHOW_RECO,18,,CLEAR,5min,msg_ShowReco,,,CUST_BOT
SEARCH_CONTENT,19,,SEARCH,5min,msg_SearchEventsAsk,,,CUST_BOT
SHOW_SINGLE_RECO,20,,CLEAR,5min,msg_ShowRecoSingle,,,CUST_BOT
MSG,21,INIT,CLEAR,5min,msg_WelcomeMessage_1,WELCOME_INIT_1,,CUST_BOT
MSG,22,SEARCH,CLEAR,5min,msg_SearchContent,,,CUST_BOT
RECORD_SKILL_EVAL,23,,CLEAR,5min,msg_recordEvalSkill,,,
CHECK_PROGRESS,24,,CLEAR,5min,msg_checkProgress,,,
INTRODUCE,25,,CLEAR,5min,msg_introduction,,,
INTRODUCE_2,26,,CLEAR,5min,msg_introduce_2,,,
RESTART_FLOW,27,,CLEAR,5min,msg_restart,WELCOME_INIT_1,,
ROLE_PRODUCT_MANAGER,28,,CLEAR,5min,msg_ackSkillInfo,GET_USER_COMPANY,actionSaveUserLocationProdM,
ROLE_PROGRAM_MANAGER,29,,CLEAR,5min,msg_ackSkillInfo,GET_USER_COMPANY,actionSaveUserLocationProgM,
ROLE_ENGINEERING_MANAGER,30,,CLEAR,5min,msg_ackSkillInfo,GET_USER_COMPANY,actionSaveUserLocationEggM,
SHOW_QUESTIONS,31,,QUESTION,5min,msg_showQuestions,,,
ANSWER_TO_QUESTION,32,,CLEAR,5min,msg_reviewAnswerToQuestion,,,
SHOW_MODULE,33,,CLEAR,5min,msg_showModule,,,
START_MODULE,34,,CLEAR,5min,msg_startModule,,,
NEXT_MODULE_CONTENT,35,,CLEAR,5min,msg_nextModuleContent,,,
ANALYZE_SKILL_INFO,36,,CLEAR,5min,msg_analyzeSkillInfo,,,
OOPS,37,,CLEAR,5min,msg_oops,,,
ANALYZE_SKILL_INFO_IMAGE,38,,CLEAR,5min,msg_analyzeSkillInfoImage,ANALYZE_SKILL_INFO,,
